neg,neu,pos,compound
0.023,0.769,0.208,0.9195
0.086,0.841,0.073,-0.1027
0.035,0.91,0.054,0.5978
0.107,0.453,0.44,0.9752
0.113,0.842,0.045,-0.8878
0.134,0.846,0.02,-0.8884
0.045,0.827,0.128,0.9198
0.036,0.68,0.284,0.9884
0.0,0.733,0.267,0.8895
0.189,0.811,0.0,-0.9422
0.162,0.75,0.088,-0.9172
0.078,0.846,0.075,0.2717
0.05,0.865,0.085,0.6114
0.107,0.821,0.072,0.2114
0.058,0.711,0.231,0.9853
0.057,0.853,0.09,0.9524
0.067,0.891,0.042,-0.296
0.108,0.846,0.046,-0.5178
0.063,0.914,0.024,-0.8934
0.133,0.827,0.04,-0.9592
0.073,0.858,0.069,-0.5439
0.145,0.757,0.098,-0.2492
0.068,0.795,0.137,0.9531
0.27,0.73,0.0,-0.9118
0.06,0.886,0.054,0.0951
0.147,0.781,0.072,-0.9012
0.113,0.795,0.092,-0.8924
0.049,0.872,0.08,0.8356
0.142,0.858,0.0,-0.8441
0.067,0.893,0.04,-0.296
0.063,0.937,0.0,-0.4767
0.139,0.847,0.014,-0.933
0.062,0.921,0.017,-0.7151
0.071,0.831,0.099,0.3707
0.072,0.818,0.11,0.8515
0.06,0.831,0.109,0.8718
0.0,0.622,0.378,0.9869
0.036,0.92,0.044,-0.0258
0.219,0.781,0.0,-0.8316
0.048,0.886,0.066,-0.1901
0.0,0.849,0.151,0.8977
0.124,0.852,0.024,-0.9074
0.028,0.972,0.0,-0.1027
0.036,0.706,0.259,0.9899
0.144,0.856,0.0,-0.8225
0.023,0.829,0.148,0.9246
0.022,0.867,0.111,0.9101
0.049,0.672,0.279,0.9871
0.065,0.769,0.166,0.9895
0.068,0.87,0.062,-0.1603
0.088,0.875,0.037,-0.9207
0.073,0.866,0.061,-0.7362
0.123,0.805,0.072,-0.9477
0.039,0.734,0.227,0.9942
0.117,0.795,0.088,-0.79
0.098,0.806,0.096,0.5477
0.045,0.872,0.082,0.296
0.062,0.873,0.065,0.4523
0.091,0.834,0.075,0.631
0.082,0.881,0.038,-0.8039
0.066,0.824,0.11,0.7798
0.0,0.986,0.014,0.3182
0.0,0.736,0.264,0.9916
0.029,0.793,0.178,0.9901
0.188,0.677,0.135,-0.6374
0.014,0.788,0.199,0.9423
0.0,0.615,0.385,0.9808
0.174,0.726,0.1,-0.9437
0.081,0.769,0.15,0.8553
0.074,0.881,0.045,-0.8316
0.065,0.864,0.071,-0.2181
0.045,0.935,0.019,-0.4215
0.177,0.823,0.0,-0.8569
0.074,0.913,0.013,-0.7069
0.125,0.804,0.071,-0.9859
0.099,0.87,0.031,-0.9034
0.037,0.885,0.078,0.8478
0.163,0.837,0.0,-0.7759
0.1,0.812,0.088,-0.2462
0.018,0.858,0.125,0.9648
0.188,0.707,0.106,-0.8986
0.0,1.0,0.0,0.0
0.078,0.9,0.022,-0.7002
0.071,0.77,0.159,0.9745
0.137,0.812,0.05,-0.7993
0.03,0.928,0.042,0.2263
0.159,0.747,0.094,-0.8945
0.048,0.887,0.064,0.1779
0.022,0.879,0.099,0.9331
0.069,0.688,0.243,0.922
0.065,0.724,0.211,0.9729
0.048,0.84,0.111,0.901
0.0,0.521,0.479,0.9919
0.125,0.782,0.092,-0.441
0.05,0.771,0.179,0.9427
0.051,0.744,0.205,0.8167
0.096,0.837,0.068,-0.932
0.012,0.702,0.286,0.9862
0.049,0.822,0.129,0.9059
0.0,0.635,0.365,0.9616
0.092,0.855,0.052,-0.804
0.116,0.837,0.046,-0.7784
0.123,0.838,0.039,-0.9454
0.014,0.883,0.103,0.8311
0.11,0.851,0.039,-0.9397
0.115,0.854,0.031,-0.9152
0.0,0.6,0.4,0.9366
0.076,0.821,0.103,0.8263
0.104,0.874,0.023,-0.775
0.04,0.905,0.055,0.3224
0.104,0.868,0.028,-0.7319
0.115,0.821,0.064,-0.7719
0.081,0.731,0.188,0.8976
0.081,0.919,0.0,-0.296
0.072,0.91,0.019,-0.4854
0.103,0.803,0.095,0.1547
0.07,0.878,0.052,-0.7059
0.165,0.774,0.061,-0.959
0.093,0.868,0.04,-0.9287
0.063,0.901,0.036,-0.0516
0.098,0.778,0.124,0.7738
0.023,0.804,0.173,0.9812
0.04,0.71,0.249,0.8714
0.09,0.88,0.03,-0.9215
0.137,0.786,0.078,-0.6597
0.038,0.814,0.148,0.9365
0.125,0.875,0.0,-0.5719
0.1,0.846,0.055,-0.9564
0.046,0.762,0.192,0.9186
0.0,0.8,0.2,0.9412
0.106,0.873,0.02,-0.8057
0.067,0.796,0.136,0.8986
0.071,0.897,0.033,-0.4116
0.134,0.81,0.056,-0.951
0.038,0.833,0.129,0.9013
0.112,0.645,0.243,0.6258
0.057,0.843,0.101,0.7778
0.088,0.837,0.075,0.0258
0.0,0.556,0.444,0.9595
0.024,0.882,0.094,0.8519
0.068,0.853,0.079,0.5286
0.069,0.906,0.025,-0.4215
0.302,0.631,0.067,-0.9343
0.083,0.876,0.041,-0.8666
0.121,0.879,0.0,-0.861
0.24,0.76,0.0,-0.7646
0.061,0.755,0.184,0.8658
0.078,0.868,0.054,-0.7666
0.069,0.834,0.097,0.2558
0.092,0.744,0.165,0.9486
0.052,0.858,0.09,0.533
0.05,0.704,0.246,0.9992
0.091,0.853,0.056,-0.7885
0.035,0.818,0.147,0.9331
0.098,0.846,0.056,-0.4994
0.022,0.863,0.115,0.9792
0.063,0.679,0.258,0.9468
0.036,0.726,0.238,0.9051
0.026,0.675,0.3,0.9979
0.015,0.964,0.021,-0.0516
0.128,0.801,0.071,-0.878
0.12,0.797,0.083,-0.8122
0.0,0.669,0.331,0.936
